# ID   Z    G      R      I     
  8      2.8    34.9114    34.2982    34.0904   
  8      2.82   34.9465    34.3151    34.1086   
  8      2.84   34.9817    34.3325    34.1277   
  8      2.86   35.0253    34.3501    34.1475   
  8      2.88   35.0613    34.3676    34.1674   
  8      2.9    35.0983    34.3847    34.1869   
  8      2.92   35.1366    34.4014    34.206    
  8      2.94   35.1761    34.4178    34.2248   
  8      2.96   35.2271    34.4342    34.2436   
  8      2.98   35.2682    34.4506    34.2623   
  8      3.0    35.3094    34.4668    34.2811   
  9      0.0    -15.4549   -16.2403   -16.5504  
  9      0.02   19.1486    18.3229    18.0146   
  9      0.04   20.7422    19.8771    19.5677   
  9      0.06   21.7088    20.809     20.4931   
  9      0.08   22.4257    21.4906    21.1598   
  9      0.1    23.0115    22.035     21.6862   
  9      0.12   23.5139    22.488     22.1244   
  9      0.14   23.9654    22.8773    22.4973   
  9      0.16   24.3761    23.2232    22.8239   
  9      0.18   24.7542    23.5331    23.1116   
  9      0.2    25.1088    23.8151    23.3739   
  9      0.22   25.431     24.0764    23.6192   
  9      0.24   25.7262    24.3188    23.8461   
  9      0.26   25.9995    24.5483    24.0594   
  9      0.28   26.2633    24.7686    24.2619   
  9      0.3    26.524     24.9826    24.4562   
  9      0.32   26.7765    25.1891    24.6475   
  9      0.34   27.0275    25.3815    24.8305   
  9      0.36   27.2528    25.5607    25.0015   
  9      0.38   27.4481    25.7362    25.1664   
  9      0.4    27.6284    25.9087    25.3236   
  9      0.42   27.8047    26.0881    25.4715   
  9      0.44   27.9837    26.2693    25.6119   
  9      0.46   28.1574    26.4537    25.7481   
  9      0.48   28.337     26.6358    25.8806   
  9      0.5    28.4991    26.8162    26.0079   
  9      0.52   28.6492    26.9939    26.133    
  9      0.54   28.8058    27.1715    26.2592   
  9      0.56   28.9619    27.3459    26.387    
  9      0.58   29.1102    27.5122    26.5161   
  9      0.6    29.252     27.6712    26.6462   
  9      0.62   29.3977    27.821     26.7713   
  9      0.64   29.5515    27.9655    26.8907   
  9      0.66   29.7053    28.1126    27.0092   
  9      0.68   29.8453    28.2585    27.127    
  9      0.7    29.9809    28.404     27.2449   
  9      0.72   30.1166    28.5486    27.3687   
  9      0.74   30.2541    28.6924    27.501    
  9      0.76   30.3873    28.8208    27.6345   
  9      0.78   30.5144    28.9352    27.768    
  9      0.8    30.6349    29.046     27.9018   
  9      0.82   30.7486    29.1465    28.0357   
  9      0.84   30.8599    29.2485    28.1677   
  9      0.86   30.9689    29.3512    28.2951   
  9      0.88   31.0625    29.4508    28.4193   
  9      0.9    31.1437    29.5566    28.5415   
  9      0.92   31.2152    29.66      28.6629   
  9      0.94   31.2787    29.7545    28.7771   
  9      0.96   31.3434    29.8511    28.8829   
  9      0.98   31.4088    29.9558    28.9902   
  9      1.0    31.4763    30.0629    29.102    
  9      1.02   31.5488    30.1654    29.2114   
  9      1.04   31.6213    30.2648    29.3157   
  9      1.06   31.6825    30.3605    29.4157   
  9      1.08   31.7359    30.4543    29.5141   
  9      1.1    31.7874    30.5513    29.612    
  9      1.12   31.8356    30.6524    29.7053   
  9      1.14   31.8802    30.7538    29.79     
  9      1.16   31.9223    30.8509    29.8689   
  9      1.18   31.9638    30.9455    29.9432   
  9      1.2    32.0069    31.042     30.0167   
  9      1.22   32.0485    31.1396    30.0947   
  9      1.24   32.0856    31.2353    30.1737   
  9      1.26   32.1195    31.3292    30.25     
  9      1.28   32.1533    31.4205    30.3273   
  9      1.3    32.1872    31.5094    30.406    
  9      1.32   32.221     31.5974    30.4821   
  9      1.34   32.2573    31.684     30.554    
  9      1.36   32.2956    31.7698    30.6257   
  9      1.38   32.3338    31.8565    30.7038   
  9      1.4    32.3711    31.942     30.7879   
  9      1.42   32.4081    32.0189    30.8729   
  9      1.44   32.4455    32.0836    30.9565   
  9      1.46   32.4835    32.1408    31.0383   
  9      1.48   32.5212    32.1926    31.1177   
  9      1.5    32.5585    32.2381    31.1969   
  9      1.52   32.5948    32.2815    31.2764   
  9      1.54   32.6307    32.3246    31.3546   
  9      1.56   32.667     32.3679    31.4325   
  9      1.58   32.704     32.4116    31.5092   
  9      1.6    32.7409    32.459     31.5844   
  9      1.62   32.7769    32.5073    31.6594   
  9      1.64   32.8119    32.5521    31.7339   
  9      1.66   32.846     32.5902    31.8071   
  9      1.68   32.879     32.6236    31.8802   
  9      1.7    32.9108    32.6557    31.9538   
  9      1.72   32.9419    32.6878    32.0286   
  9      1.74   32.9725    32.7169    32.1033   
  9      1.76   33.0023    32.7425    32.1749   
  9      1.78   33.0311    32.7675    32.2421   
  9      1.8    33.0586    32.7929    32.3062   
  9      1.82   33.0853    32.8187    32.3696   
  9      1.84   33.1117    32.8445    32.4336   
  9      1.86   33.1386    32.8697    32.4978   
